id,label,coordinate,street_side,hidden
837,8150,150.62973,s,False
838,Havenhurst Drive,147.90361,s,False
839,8200,147.23442,s,False
840,8210,145.64529,s,False
841,8212,144.54415,s,False
842,8218,143.77653,s,False
843,8220,143.14674,s,False
844,8222,142.76649,s,False
845,8226,142.03926,s,False
846,8228,141.15597,s,False
847,8240,139.56289,s,False
848,North Harper Avenue,138.12504,s,False
849,8250,136.44643,s,False
850,8260,135.40787,s,False
851,8262,135.12665,s,False
852,8264,134.64737,s,False
853,8272,133.48049,s,False
854,8278,132.83248,s,False
855,8280,132.30963,s,False
856,8282,132.07990,s,False
857,North Sweetzer Avenue,129.68073,s,False
858,8300,125.94363,s,False
859,8358,117.69222,s,False
860,8400,114.81738,s,False
861,8420,113.20648,s,False
862,8418,112.37031,s,False
863,8422,110.82951,s,False
864,8426,110.24092,s,False
865,8430,109.02808,s,False
866,Olive Drive,107.41739,s,False
867,8440,105.38878,s,False
868,8462,102.09012,s,False
869,8474,99.69692,s,False
870,8480,97.14688,s,False
871,8490,95.33039,s,False
872,North La Cienega Boulevard,93.52745,s,False
873,8500,92.75024,s,False
874,8506,91.94222,s,False
875,8512,91.46690,s,False
876,8516,90.92822,s,False
877,8524,89.29552,s,False
